niveau,domaine,question,optionA,optionB,optionC,optionD,reponse_correcte,explication,reference
1,Épidémiologie,Quelle est la prévalence de l'hypertension artérielle chez les adultes canadiens âgés de 20 ans et plus selon les données les plus récentes ?,Environ 15% de la population adulte,Environ 22% de la population adulte,Environ 27% de la population adulte,Environ 35% de la population adulte,C,Selon Hypertension Canada 2025 la prévalence de l'HTA chez les adultes canadiens est d'environ 27% représentant un défi majeur de santé publique.,Hypertension Canada 2025
1,Physiopathologie,Quel est le mécanisme principal de régulation de la pression artérielle à court terme ?,Le système rénine-angiotensine-aldostérone,Le système nerveux sympathique,Les peptides natriurétiques,L'autorégulation rénale,B,Le système nerveux sympathique assure la régulation rapide de la PA via la modulation de la fréquence cardiaque de la contractilité et du tonus vasculaire.,Guyton Textbook 2021
1,Diagnostic,Quelle est la valeur seuil diagnostique de l'hypertension artérielle selon les lignes directrices canadiennes ?,≥130/80 mmHg,≥135/85 mmHg,≥140/90 mmHg,≥145/95 mmHg,C,Le diagnostic d'HTA est établi lorsque la PA est ≥140/90 mmHg confirmée par des mesures répétées selon Hypertension Canada.,Hypertension Canada 2025
1,Pharmacologie,Quel est le mécanisme d'action principal des inhibiteurs de l'ECA ?,Blocage des récepteurs AT1,Inhibition de l'enzyme de conversion de l'angiotensine,Blocage des canaux calciques,Diurèse osmotique,B,Les IECA inhibent l'enzyme de conversion bloquant la transformation de l'angiotensine I en angiotensine II réduisant ainsi la vasoconstriction.,DiPiro Pharmacotherapy 2020
1,Stratification,Quel outil est recommandé pour évaluer le risque cardiovasculaire global chez les patients hypertendus ?,Score de Framingham,Score de Reynolds,Score PROCAM,Score QRISK,A,Le score de Framingham modifié est l'outil de référence recommandé par les lignes directrices canadiennes pour stratifier le risque CV.,Hypertension Canada 2025
1,Objectifs,Quel est l'objectif tensionnel général recommandé pour la plupart des patients hypertendus adultes ?,<130/80 mmHg,<135/85 mmHg,<140/90 mmHg,<145/95 mmHg,C,L'objectif tensionnel standard est <140/90 mmHg pour la majorité des patients adultes hypertendus selon les lignes directrices.,Hypertension Canada 2025
1,MHV,Quelle modification des habitudes de vie a le plus grand impact sur la réduction de la pression artérielle ?,Arrêt du tabac,Réduction du sodium,Exercice physique,Perte de poids,D,La perte de poids est la MHV avec le plus grand impact pouvant réduire la PAS de 5-20 mmHg pour chaque 10 kg perdus.,DASH Trial 2001
1,Pharmacothérapie,Quelle classe d'antihypertenseurs est recommandée en première intention chez un patient diabétique ?,Diurétiques thiazidiques,Inhibiteurs calciques,IECA ou ARA,Bêta-bloquants,C,Les IECA ou ARA sont privilégiés chez les diabétiques pour leur effet néphroprotecteur et cardiovasculaire.,ADA Guidelines 2025
1,Présentation,Quel pourcentage de patients hypertendus sont asymptomatiques ?,Environ 25%,Environ 50%,Environ 75%,Environ 90%,D,Environ 90% des patients hypertendus sont asymptomatiques d'où l'importance du dépistage systématique.,Harrison's Principles 2022
1,Suivi,À quelle fréquence doit-on effectuer le suivi d'un patient nouvellement diagnostiqué avec une HTA non compliquée ?,Toutes les semaines,Toutes les 2-4 semaines,Tous les 2-3 mois,Tous les 6 mois,B,Le suivi initial doit être aux 2-4 semaines pour ajuster le traitement jusqu'à l'atteinte de l'objectif tensionnel.,Hypertension Canada 2025
2,Épidémiologie,Comment l'âge influence-t-il la prévalence de l'hypertension artérielle ?,La prévalence diminue avec l'âge,La prévalence reste stable,La prévalence augmente linéairement,La prévalence suit une courbe en U,C,La prévalence de l'HTA augmente de façon quasi-linéaire avec l'âge atteignant plus de 60% chez les >65 ans.,Statistique Canada 2023
2,Physiopathologie,Pourquoi la rigidité artérielle contribue-t-elle à l'hypertension systolique isolée ?,Augmentation de la précharge,Diminution de la compliance artérielle,Activation du SRAA,Dysfonction endothéliale,B,La rigidité artérielle réduit la compliance vasculaire augmentant la pression systolique et l'onde de réflexion.,Arteriosclerosis Journal 2021
2,Diagnostic,Pourquoi la mesure ambulatoire de la PA (MAPA) est-elle supérieure aux mesures ponctuelles ?,Élimine l'effet blouse blanche,Détecte l'HTA masquée,Évalue la variabilité tensionnelle,Toutes ces réponses,D,La MAPA permet d'éliminer l'effet blouse blanche de détecter l'HTA masquée et d'évaluer la variabilité tensionnelle.,NICE Guidelines 2022
2,Pharmacologie,Pourquoi les diurétiques thiazidiques sont-ils efficaces dans l'HTA ?,Effet diurétique uniquement,Vasodilatation directe,Réduction du volume puis vasodilatation,Inhibition du SRAA,C,L'effet initial des thiazides est diurétique puis ils induisent une vasodilatation directe expliquant leur efficacité à long terme.,NEJM 2021
2,Stratification,Pourquoi certains patients à risque élevé nécessitent-ils un objectif tensionnel plus strict ?,Risque d'événements CV plus élevé,Meilleure tolérance aux médicaments,Compliance supérieure,Espérance de vie prolongée,A,Les patients à haut risque CV bénéficient d'objectifs plus stricts car la réduction du risque absolu est plus importante.,SPRINT Trial 2015
2,Objectifs,Pourquoi l'objectif tensionnel est-il différent chez les patients diabétiques ?,Risque CV équivalent,Risque de néphropathie,Meilleure réponse au traitement,Toutes ces réponses,B,Les diabétiques ont un objectif <130/80 mmHg en raison du risque élevé de néphropathie diabétique.,ADA Position Statement 2025
2,MHV,Pourquoi la restriction sodique est-elle particulièrement importante chez les patients âgés ?,Sensibilité accrue au sodium,Fonction rénale diminuée,Rigidité artérielle,Toutes ces réponses,D,Les patients âgés cumulent une sensibilité sodique accrue une fonction rénale réduite et une rigidité artérielle.,Age and Ageing 2021
2,Pharmacothérapie,Pourquoi évite-t-on les bêta-bloquants chez les patients asthmatiques ?,Bronchospasme,Bradycardie,Hypotension,Fatigue,A,Les bêta-bloquants non sélectifs peuvent induire un bronchospasme chez les patients asthmatiques par blocage des récepteurs β2.,Cochrane Review 2020
2,Présentation,Pourquoi l'HTA est-elle appelée le "tueur silencieux" ?,Évolution rapide,Absence de symptômes,Résistance au traitement,Mortalité élevée,B,L'HTA est asymptomatique dans la majorité des cas permettant des dommages d'organes avant le diagnostic.,Lancet 2021
2,Suivi,Pourquoi l'automesure tensionnelle améliore-t-elle l'observance thérapeutique ?,Engagement du patient,Détection des variations,Réduction des consultations,Coût moindre,A,L'automesure implique activement le patient dans sa prise en charge améliorant l'observance et le contrôle tensionnel.,Hypertension 2022
3,Épidémiologie,Un patient de 45 ans présente une PA de 150/95 mmHg. Calculez son risque CV à 10 ans selon Framingham si HDL=1.2 mmol/L et cholestérol total=5.5 mmol/L (non-fumeur).,8-12%,15-18%,20-25%,>30%,B,Avec ces paramètres le risque CV à 10 ans se situe entre 15-18% plaçant ce patient en risque intermédiaire nécessitant une intervention.,Framingham Calculator 2023
3,Physiopathologie,Un patient présente une HTA avec hyperaldostéronisme primaire. Calculez la charge sodique quotidienne si sa natriurèse est de 180 mEq/24h.,4.1 g,7.2 g,10.4 g,12.8 g,C,180 mEq Na × 23 mg/mEq ÷ 1000 = 4.14 g de sodium soit environ 10.4 g de sel (NaCl) par jour.,Clinical Chemistry 2021
3,Diagnostic,Un patient a une PA de bureau de 145/92 mmHg et une PA moyenne MAPA de 135/88 mmHg. Quel est le diagnostic le plus probable ?,HTA confirmée,HTA blouse blanche,HTA masquée,PA normale,B,PA bureau élevée (>140/90) mais MAPA normale (<135/85) caractérise l'HTA blouse blanche observée chez 15-30% des patients.,AHA Scientific Statement 2022
3,Pharmacologie,Un patient de 70 kg reçoit 5 mg d'amlodipine. Calculez la dose par kg et déterminez si un ajustement est nécessaire.,0.07 mg/kg - dose appropriée,0.07 mg/kg - sous-dosé,0.14 mg/kg - surdosé,0.21 mg/kg - toxique,A,5 mg ÷ 70 kg = 0.07 mg/kg. La dose usuelle d'amlodipine est 2.5-10 mg/jour donc 5 mg est approprié.,Martindale 41st Ed.
3,Stratification,Un diabétique de 55 ans avec HTA présente une créatinine de 150 μmol/L. Calculez son DFG estimé (Cockroft-Gault) pour un poids de 80 kg.,(140-55)×80÷(0.814×150) = 55 mL/min,(140-55)×80÷(0.814×150) = 45 mL/min,(140-55)×80÷(1.2×150) = 38 mL/min,Impossible à calculer,A,DFG = (140-âge) × poids ÷ (0.814 × créatinine) = 85×80÷122.1 = 55.6 mL/min indiquant une IRC modérée.,Kidney Int. 2021
3,Objectifs,Un patient diabétique de 65 ans avec IRC stade 3 a une PA de 145/88 mmHg. Quel objectif tensionnel appliquer ?,<120/80 mmHg,<130/80 mmHg,<140/90 mmHg,<150/90 mmHg,B,Chez les diabétiques avec IRC l'objectif est <130/80 mmHg pour ralentir la progression de la néphropathie.,KDIGO Guidelines 2021
3,MHV,Un patient consomme 4000 mg de sodium/jour. De combien doit-il réduire sa consommation pour atteindre la cible de 2000 mg ?,Réduction de 25%,Réduction de 40%,Réduction de 50%,Réduction de 60%,C,(4000-2000)÷4000 × 100 = 50% de réduction nécessaire pour atteindre la cible recommandée.,DASH-Sodium Trial
3,Pharmacothérapie,Un patient prend lisinopril 10 mg et présente une toux sèche. Quelle substitution équivalente en ARA recommandez-vous ?,Valsartan 40 mg,Valsartan 80 mg,Valsartan 160 mg,Candesartan 8 mg,B,L'équivalence approximative est lisinopril 10 mg = valsartan 80 mg pour un effet antihypertenseur similaire.,ESC Guidelines 2021
